,llama_token,llama_token,llama_token,qwen_token,qwen_token,qwen_token,gemma_token,gemma_token,gemma_token
,mean,max,min,mean,max,min,mean,max,min
task,,,,,,,,,
doosan_253717,60.7,6350,7,66.2,6722,6,65.3,6357,7
fin_definition,330.4,714,67,359.2,754,72,369.3,784,71
gen_argument,221.2,24921,10,241.2,26011,10,248.2,27280,11
gen_assistant,102.1,9621,26,111.1,11216,25,113.4,11022,28
gen_closedQA_classification,162.5,317,56,180.9,353,59,180.0,360,64
gen_closedQA_generation_1,342.5,7357,50,387.3,8457,58,380.2,8055,60
gen_closedQA_generation_2,412.1,1211,117,456.4,1335,116,466.0,1351,134
gen_closedQA_generation_3,516.2,3267,130,571.2,3601,143,562.8,2478,147
gen_generation,501.8,1469,53,567.7,1743,61,558.0,1618,58
gen_math,63.8,130,13,71.1,169,13,72.3,171,15
gen_news_classification,32.4,44,17,35.7,51,18,35.1,48,20
gen_news_classification_option,282.5,4645,14,308.3,4948,13,314.8,5402,14
gen_nli,59.6,126,25,67.4,154,27,66.3,139,28
gen_polysemy_classification,68.7,117,40,73.2,128,41,73.2,130,43
gen_sentiment_classification,33.2,124,13,34.4,126,12,35.7,130,14
gen_sts_classification,58.3,163,22,64.6,189,21,63.1,171,22
gen_summarization,2148.1,156885,60,2408.3,176154,71,2383.0,170983,68
kowiki_v2_leads,127.7,11350,11,145.7,12532,10,140.2,12241,11
law_openQA,475.5,2637,31,511.9,2885,32,530.5,2922,34
law_statute_classification,294.2,822,103,330.2,890,117,332.2,892,117
law_statute_content,78.0,472,33,82.4,520,35,89.7,531,40
law_summarization,790.2,1879,131,847.3,2093,132,883.0,2128,140
med_definition,163.4,2624,6,174.4,2736,6,173.5,2719,7
med_translation,12.5,1061,3,12.0,1126,2,12.0,1087,3
oig-smallchip2-rvsd,112.0,206,56,125.2,230,63,122.3,209,65
translation,65.1,661,26,68.9,711,26,69.4,714,28
