category	attribute	completion	prompt
언어	영어	Y	I went for a walk to clear my head.
언어	영어	N	Planting trees is a simple yet
언어	영어	N	Given the rapid population aging and other issues, South Korea is
말투	문어	Y	성공 경험을 쌓는 것은 자기 효능감을 위해 필수적이다.
말투	문어	N	주차장은 공간이 한정되어 있으므로 이용을 원하시는 고객님께서는
말투	문어	N	귀사의 무궁한 발전을
말투	구어	Y	너 탕후루 먹어봤어?
말투	구어	N	애들아 우린 저 사람보다 키가 작아서
말투	구어	N	한식, 중식, 일식 중에 뭐 먹고 싶어? 같이 음식점을
도메인	일상	Y	내일은 주말이야. 뭘 하고 놀면 좋을까?
도메인	일상	N	곧 생일이구나. 생일 선물
도메인	의료	Y	고위험 산모군은 조기 진통이 발생해 이른 둥이 아기를 출산하는 경우도 적지 않다.
도메인	의료	N	코로나19 대유행 기간에는 감염 예방
도메인	법률	Y	가정폭력 피해자에 대하여 다양한 보호조치가 제도적으로 마련되어 있습니다.
도메인	법률	N	인터넷 사기와 같은 디지털 범죄는 사이버 범죄의 일환으로, 특별한
도메인	기술	Y	급속도로 성장하는 인공지능(AI) 모델이 데이터 부족 문제로 위협받고 있다는 지적이 나왔다.
도메인	기술	N	한국은 메모리 반도체 분야에서 세계
도메인	금융	Y	금융투자상품에 투자할 때는 반드시 다음 사항을 명심해야 합니다.
도메인	금융	N	주식 시장에서의 디지털 화폐 거래가
한국화	언어(문법)	N	다음 주가 개강이니 방학도 다 끝난 거나
한국화	언어(문법)	N	너가 밥을 먹든 잠을
한국화	언어(속담)	N	꿩 먹고 알
한국화	언어(관용구)	N	내가 정말 눈 뜨고 코
한국화	언어(관용구)	N	높은 요금으로 논란이 되는 그 가게는 여전히 손님들에게 바가지를
한국화	문화	Y	이번에 완전 불수능이었어요.
한국화	문화	N	한국인의 밥상에서 김치는 빠질 수 없는데
한국화	문화	N	한글날은 10월
hallucination	hallucination	Y	스웨터의 유래는 스웨덴이 맞나요?
hallucination	hallucination	Y	참 가지가지 하네.
hallucination	hallucination	N	목구멍이 포도청이라더니
도메인	코딩	Y	여러 번 반복되는 문자를 1개로 줄이는 정규식을 작성해주세요.
도메인	코딩	Y	지역변수와 전역변수의 차이점을 코드로 설명해줘.
도메인	코딩	Y	머신러닝 관련 오픈소스에 어떻게 기여할 수 있을까?
