task,instruction,input,output,option
kowiki_v2_leads,,황학 (명나라),황학(黃鶴)는 명나라 중기의 정치인이었다. 자(字)는 명고(鳴臯)이다. 하남성(河南省) 개봉부(開封府) 기현(杞縣) 출신이다.,
doosan_253717,,역추력장치,역추력장치는 제트엔진 등의 추력(推力)을 역전시켜서 바퀴의 브레이크 작용을 돕는 장치이다.,
gen_generation,,여자친구와 5주년을 맞은 남자는 특별한 여행을 계획하고 있다. 남자는 인터넷으로 여행 장소를 검색하고 정보를 수집하기 시작한다. 그리고 정보를 찾다가 알아낸 여행 관련 앱을 태블릿에 다운받는다.,앱이 화면에 나타나자 남자는 앱을 누른다.,
gen_closedQA_generation_3,명절을 기념해 지역 내 위기 청소년들에게 물품을 제공한 곳은 어디야,"부산 서구 청소년상담복지센터(센터장 유은영) 청소년동반자들은 지난 8일부터 3일간 민족의 큰 명절인 설날을 맞아 청소년들에게 '설날 KIT'를 직접 전달했다. 

 

 '설날 KIT'는 가족들과 함께 즐길 수 있는 추억의 과자 종합 세트와 전통 민속놀이인 윷놀이 세트, 손 소독제·마스크 및 일회용 체온계 등이 포함된 코로나19 백신 KIT로 구성되어 있다. 

 

 '설날 KIT'를 전달받은 청소년은 “설날인데도 코로나19로 인해 우울감이 컸는데 웃을 수 있었다.”라며 감사의 마음을 표현하였다. 

 

 청소년동반자는 위기 청소년들에게 개인별 맞춤형 찾아가는 상담뿐만 아니라 복지 자원을 발굴하여 제공하는 등 청소년들의 현장에서 활동하고 있다. 

 

 청소년의 대인관계, 진로 및 심리 상담 서비스가 필요한 경우 부산 서구 청소년상담복지센터 또는 청소년 전화 1388로 문의하여 상담을 신청하면 된다. 

 
",부산 서구 청소년상담복지센터,
gen_closedQA_generation_2,맹형규 행안부 장관은 공직기강 확립을 위해 어떤 제목의 서한문을 전 직원들에게 발송했지,"행안부 긴급확대간부회의를 개최,「공직기강 확립 및 윤리 실천계획」추진키로 
□ 맹형규 행정안전부 장관은 6월 22일(수) 오전 “공직기강 확립을 위한 긴급 확대간부회의”를 개최하고
○ 행정안전부 전 직원들에게 공직 내 오랫동안 잠재된 낡은 관행과 악습을 청산하는데 앞장서 줄 것을 당부했다. 
□ 최근 공직기강 해이에 대해 사회전반에 걸쳐 우려의 목소리가높아지는 가운데
○ 지난 6월 16일(목) “행안부 가족에게 드리는 글”이라는 장관 서한문을 전 직원들에게 발송하여 공직기강 확립을 당부한데 이어, 
○ 당초 다음 달 초에 예정되어 있던 확대간부회의를 6월 22일로 앞당겨 “공직기강 확립 실천계획”을 긴급 보고하도록 한 것이다. 
□ 이날 회의에서는
○ 행안부 본부, 정부청사관리소․정부통합전산센터 등 소속기관, 경찰청 ․ 소방방재청 등 기관별로 공직기강 확립을 위한 실천 대책을 발표했다. 
○ 아울러, 국장급 이상 간부공무원 27명은 “청렴서약서”를 작성해 맹형규 장관에게 직접 전달했다
□ 특히, 맹형규 장관은 이날 회의를 통해
○ “그간 당연시되어 온 공직 내 관행들도 냉철하게 돌아보고 공직 사회가 새롭게 변모하는 계기를 만들어야 할 것”이라고 강조했다.",행안부 가족에게 드리는 글,"['행안부 가족에게 드리는 글', '공직기강 확립 실천계획', '청렴서약서', '긴급 확대간부회의']"
gen_argument,,"현재 기술자가 퇴사후에 직권으로 자격증 해임을 하기 위해서는 민법상 규정을 적용해 ""내용증명방식으로 의사를 보내고 30일 이후에 기술자가 협회에 방문제출"" 할 경우만 직권퇴사를 인정하고 있습니다. 이런 점을 노려 회사들은 조금만 기다려 달라는 말을 하며 근로자들을 기다리게 하면서 동등 자격증을 가진 사람을 구하기 쉽지않다며 퇴사처리를 늦게 해주고 있습니다. 근로자의 입장에서는 끌려다닐수 밖에 없는 입장입니다. 그후 근로자가 더이상 기다릴수 없어 법적인 절차를 하려하면 위의 절차에 따라 또 1달의 기간을 기다리게 됩니다. 이런 제도적인 허점이 의도하지 않은 서류상 이중취업, 자격증 불법대여가 되게 됩니다. 4대보험의 퇴사관련 서류를 구비할경우 1주일이내에 각 협회(건설, 전기, 통신, 소방... 등)에서 온라인으로 자격증 직권해임이 되게끔 행정절차를 개선할 필요가 있다고 생각합니다.",퇴사시 기술자격증 해임처리방식을 바꾸어야 합니다.,
gen_summarization,,"해양 녹색기술(green technology)개발은 재생가능하고 환경친화적 방식의 과학기술을 해양에서 적용하려는 시도이다. 국가와 민간 사업체들은 해상 풍력발전, 해양 바이오에너지 생산 및 해양시비에 큰 관심을 갖고 있다. 현재 대다수의 해양 녹색기술은 아직 상용화에 앞서 실험, 연구하는 개발 초기단계로서, 이러한 상황에서 제기될 수 있는 주요 국제법적 쟁점은 두 가지이다. 첫 번째 쟁점은 해양 녹색기술 실험행위를 어떠한 해양활동으로 이해할 것인가이다. 유엔해양법협약은 해양과학조사에 대하여 구체적인 제한을 부과하지 않고 있기 때문에, 녹색기술 실험은 큰 문제없이 해양과학조사로 볼 수 있다. 반면, 최근 런던덤핑협약체제와 생물다양성협약 당사국회의의 결정은 해양 녹색기술을 수반한 과학조사의 규모, 장소 및 목적을 제한하고자 한다. 이와 같은 당사국회의의 결정은 기존의 해양과학조사 개념을 변화시키지 않지만, 과학조사 수행시 국가들이 고려할 수 있는 행동지침의 역할을 하게 된다. 둘째, 해양 녹색기술이 해양환경에 미치는 영향은 과학적으로 충분히 입증되지 않았다. 이와 같이 과학적 불확실성이 존재하는 경우, 사전주의원칙이 적용될 수 있다. 문제는 여러 조약상의 사전주의원칙이 서로 다르게 해석될 수 있다는 점이다. 따라서 사전주의원칙은 해양 녹색기술개발을 정당화하는 동시에, 개발을 막는 근거가 될 수 있다. 하지만 사전주의원칙을 사전주의적 조치를 요구하는 행위규칙이 아닌 절차적 기준으로 해석한다면, 협약간 모순된 법적 의무가 창출된다는 우려를 해소할 수 있다. 또한 다수 조약상의 사전주의원칙을 해석할 때, 조약법에 관한 비엔나협약 제31조 3항(c)과 조약간 조화로운 해석원칙에 따른다면, 해석상의 충돌 문제를 방지할 수 있을 것이다.","해양 녹색기술개발은 재생가능하고 환경친화적 방식의 과학기술을 해양에서 적용하려는 시도이다. 현재 대다수의 해양 녹색기술은 아직 상용화에 앞서 실험, 연구하는 개발 초기단계로서, 이런 상황에서 제기될 수 있는 주요 국제법적 쟁점은 두 가지이다.",
translation,,This is most likely a result of cultural differences between the US and the UK.,이는 아마도 영국과 미국의 문화적 차이를 반영하는 듯하다.,
med_translation,,stress fracture,긴장골절 또는 피로골절,
med_definition,,울혈성심장기능상실,    심장의 원래 기능 즉 혈액을 말초로 보내는 펌프와 같은 기능이 거의 없어진 상태를 말한다. 피를 보내는 펌프의 역할이 멈추었으므로 심장으로 들어오는 피는 심장으로 들어오지 못하고 정맥속에서 정체하게 된다. 그리하여 혈액의 대부분이 말초의 정맥에 머물게 되어 여러 가지 증상이 나타난다. 특히 허파를 돌아 좌심방으로 들어가야하는 피가 펌프 기능이 없어져서 왼심방에 많은 피가 정체하고 있어서 들어가지 못해서 허파에 고이게 된다. 그러면 허파에 산소와 이산화탄소를 교환하는 기능이 없어져서 숨을 쉬지 못하는 결과를 낸다. 즉 숨이 차고 숨쉬기 힘든 증세가 나타난다. 또 온몸을 순환한 다음에 우심방으로 들어와야하는 피도 우심방으로 들어오지 못해서 말초에 정체하므로 온몸이 붓게 된다.,
law_statute_classification,법 조항,"피고인은 (차량번호 1 생략) 포터 화물차의 운전업무에 종사하는 자이다. 피고인은 2019. 12. 19. 13:40경 익산시 B 사거리를 ‘익산세무소' 방면에서 ‘C' 방면으로 알 수 없는 속도로 좌회전하게 되었다. 그곳은 전방에 횡단보도가 설치되어 있으므로 이러한 경우 자동차의 운전업무에 종사하는 자로서는 속도를 줄이고 전방 및 좌우를 잘 살펴 길을 건너는 사람이 있는지 여부를 확인하고 안전하게 운전하여야 할 업무상 주의의무가 있었다. 그럼에도 불구하고 피고인은 이를 게을리 한 채 만연히 좌회전한 과실로 피고인 진행방향의 오른쪽에서 왼쪽으로 횡단보도를 건너가던 피해자 D(남, 85세)을 미처 발견하지 못하고 위 화물차의 앞 범퍼로 피해자의 좌측면을 들이받아 도로에 넘어지게 하였다. 이로써 피고인은 위와 같은 업무상의 과실로 피해자로 하여금 사고발생일인 2019. 12. 19.경부터 2020. 4. 3. 06:15경까지 병원 치료를 받던 중, 2020. 4. 3. 06:15경 성남시 분당구 E에 있는 F병원에서 급성신부전으로 사망에 이르게 하였다.","이 사례에 적용될 수 있는 법조항은 '교통사고 처리특례법 제3조 제1항', '형법 제268조'입니다.",
law_openQA,,"저희 종중은 선산에 20여분의 조상을 모시고 있으나 분묘를 관리할 위토(位土)는 한 평도 없는 상태이므로, 위토로 사용하기 위하여 인근에 있는 밭이나 논을 구입하고자 합니다. 이 경우 종중명의로 구입할 수 있는지요?","(1) 농지취득에 관하여「농지법」제6조 제1항은 “농지는 자기가 농업경영에 이용하거나 이용할 자가 아니면 소유하지 못한다.”라고 규정하고 있으며, 같은 법 제6조 제2항에서 제1항에 대한 예외를 규정하고 있으나 거기에는 종중이 위토로 사용하려는 경우를 예외사항으로 규정하지 않고 있습니다. 더구나 같은 법 제6조 제4항은 “이 법에서 허용된 경우를 제외하고는 농지의 소유에 관한 특례를 정할 수 없다.”라고 규정하고 있습니다.
  (2) 판례도 “농지개혁법(1994. 12. 22. 농지법 제정으로 폐지)상 농지를 매수할 수 있는 자의 자격은 매매 당시 기성농가이거나 농가가 아니더라도 농지를 자경 또는 자영할 목적이 있는 자임을 요하고, 동 법 소정의 농가라 함은 자연인에 한하는 것이므로 법인격 없는 사단인 사찰은 농지를 취득할 수 없다.”라고 하였습니다(대법원 1976. 5. 11. 선고 75다1427 판결, 1992. 4. 10. 선고 91다34127 판결). 또한, 종중의 농지취득에 관하여 등기예규는 “종중은 원칙적으로 농지를 취득할 수 없으므로 위토를 목적으로 새로이 농지를 취득하는 것도 허용되지 아니하며, 다만 농지개혁 당시 위토대장에 등재된 기존 위토인 농지에 한하여 당해 농지가 위토대장에 등재되어 있음을 확인하는 내용의 위토대장 소관청 발급의 증명서를 첨부하여 종중 명의로의 소유권이전등기를 신청할 수 있다.”라고 하였습니다(2007. 4. 3. 등기예규 제1177호「농지의 소유권이전등기에 관한 사무처리지침」제4항).
  (3) 그리고 등기선례는 “종중은 원칙적으로 농지를 취득할 수 없으므로, 지목이 농지이나 토지의 현상이 농작물의 경작 또는 다년생식물의 재배지로 이용되지 않음이 관할관청이 발급하는 서면에 의하여 증명되는 경우 등 농지법 기타 법령에서 인정되는 경우를 제외하고는 종중이 지목이 ‘전’ 또는 ‘답’인 토지를 취득하여 그 명의로 소유권이전등기를 경료 받을 수는 없다. 종중원 명의로 소유권등기가 경료되어 있는 부동산에 대하여는 부동산실권리자명의등기에관한법률상의 유예기간과 관계없이 종중명의로 명의신탁해지를 원인으로 하는 소유권이전등기를 경료받을 수 있는 것이나, 그 목적 부동산이 농지인 때에는 당해 농지가 농지개혁 당시 위토대장에 등재된 기존 위토임을 확인하는 위토대장 소관청 발급의 증명서를 첨부하거나, 위의 요건을 갖춘 경우에 한하여 종중명의로 등기를 할 수 있다.”라고 하였습니다(1999. 2. 8. 등기선례6-475, 1999. 4. 30. 등기선례6-23).
  (4) 그러므로 종중은 원칙적으로 농지를 취득할 수 없으나, 기존 위토인 농지에 한하여 위토대장 소관청 발급의 증명서를 첨부하거나, 농작물의 경작 등으로 이용되지 않음이 관할관청이 발급하는 서면에 의하여 증명되는 경우 등에 한하여 종중명의로 등기를 할 수 있을 것입니다.
  (5) 따라서 위 사안의 경우 귀하의 종중은 위토로 이용하기 위하여 농지를 종중명의로 구입하려는 것이므로 이는 어려울 것으로 보입니다.",
law_summarization,,"주문
피고인의 상고를 기각한다.

이유
상고이유를 본다.
1. 피고인이 시장 또는 군수의 허가없이 근린생활 시설인 이 사건 건축물을 교회로 용도변경 사용한 행위는 1987년부터 비로소 처벌대상이 된 것이 아니라 피고인이 위 용도변경사용행위를 시작한 1985.9.1. 당시에도 그 당시의 건축법 제54조 제1항, 제5조 제1항 본문, 제48조에 위반되는 행위로서 처벌대상이 되었음이 명백하고, 또한 형법 제16조에 자기의 행위가 법령에 의하여 죄가 되지 아니하는 것으로 오인한 행위는 그 오인에 정당한 이유가 있는 때에 한하여 처벌하지 아니한다고 규정하고 있는 것은 단순한 법률의 부지의 경우를 말하는 것이 아니고, 일반적으로 범죄가 되는 행위이지만 자기의 특수한 경우에는 법령에 의하여 허용된 행위로써 죄가 되지 아니한다고 그릇 인식하고 그와 같이 인식함에 있어 정당한 이유가 있는 경우에는 벌하지 아니한다는 취지이므로, 피고인이 이 사건 행위가 건축법상의 허가대상인 줄을 몰랐다는 사정은 단순한 법률의 부지에 불과하고 특히 법령에 의하여 허용된 행위로써 죄가 되지 않는다고 적극적으로 그릇 인식한 경우가 아니어서 이를 법률의 착오에 기인한 행위라고 할 수도 없다. 논지는 이유없다.
2. 피고인에게 벌금형이 선고된 이 사건에 있어서 양형부당의 사유는 적법한 상고이유가 되지 못한다. 논지는 이유없다.
그러므로 상고를 기각하기로 관여 법관의 의견이 일치되어 주문과 같이 판결한다.","판결문의 핵심 내용만 요약해드리겠습니다: 형법 제16조에 의하여 처벌하지 아니하는 경우란 단순한 법률의 부지의 경우를 말하는 것이 아니고, 일반적으로 범죄가 되는 행위이지만 자기의 특수한 경우에는 법령에 의하여 허용된 행위로서 죄가 되지 아니한다고 그릇 인식하고 그와 같이 인식함에 있어 정당한 이유가 있는 경우에는 벌하지 아니한다는 취지이므로, 피고인이 자신의 행위가 건축법상의 허가대상인 줄을 몰랐다는 사정은 단순한 법률의 부지에 불과하고 특히 법령에 의하여 허용된 행위로서 죄가 되지 않는다고 적극적으로 그릇 인식한 경우가 아니어서 이를 법률의 착오에 기인한 행위라고 할 수 없다.",
